date,temp_avg,temp_min,temp_max,precipitation,wdir,pressure,season
2014-03-01,-4.8,-12.8,1.1,0.0,313.4,1026.9,Spring
2014-03-02,1.4,-1.1,2.8,0.0,228.6,1017.4,Spring
2014-03-03,-6.3,-10.0,-1.1,0.0,347.0,1021.1,Spring
2014-03-04,-6.8,-12.2,-2.2,0.0,253.6,1026.9,Spring
2014-03-05,-1.7,-3.9,0.6,0.0,247.0,1025.4,Spring
2014-03-06,-6.2,-10.6,-1.1,0.0,313.8,1034.8,Spring
2014-03-07,-2.2,-8.3,1.7,0.0,11.0,1024.2,Spring
2014-03-08,4.3,-1.7,11.1,0.0,299.4,1010.0,Spring
2014-03-09,3.4,1.1,5.0,0.0,257.0,1013.8,Spring
2014-03-10,2.8,1.1,5.6,1.72,67.2,1008.9,Spring
2014-03-11,5.8,-1.1,16.1,0.0,235.0,1002.7,Spring
2014-03-12,7.3,3.3,10.6,9.34,147.0,995.4,Spring
2014-03-13,-4.2,-7.8,5.6,0.2,323.0,999.6,Spring
2014-03-14,-1.7,-7.2,3.9,0.0,187.8,1019.5,Spring
2014-03-15,7.4,3.3,12.8,0.8,241.0,1009.7,Spring
2014-03-16,1.4,-1.7,6.1,0.0,324.0,1019.8,Spring
2014-03-17,-2.8,-5.6,0.6,0.0,183.8,1019.3,Spring
2014-03-18,-1.5,-6.7,3.3,0.0,146.8,1024.5,Spring
2014-03-19,0.9,-4.4,5.0,4.6,70.0,1023.1,Spring
2014-03-20,7.2,2.8,11.7,16.5,58.4,1007.3,Spring
2014-03-21,5.6,2.8,8.3,0.0,288.0,1013.6,Spring
2014-03-22,6.3,-2.8,15.6,0.0,201.6,1012.4,Spring
2014-03-23,2.7,-1.7,6.1,0.0,272.6,1016.0,Spring
2014-03-24,-2.4,-6.7,1.1,0.0,318.0,1020.9,Spring
2014-03-25,-1.5,-8.3,2.8,0.0,190.4,1018.6,Spring
2014-03-26,0.1,-3.9,2.2,0.0,335.0,1010.1,Spring
